Place,Fish,Rep,Fish.wt,Fish.lt,Oto.wd,Oto.lt,Oto.wt,Ca,Sr,Ba,Mn,Zn,K,Pb,Cu
SKN,14,2,19.50,11.60,3.90,6.70,0.0409,99.28,0.45,0.04,0.01,0.01,0.19,0.01,0.03
SKN,14,3,19.50,11.60,3.90,6.70,0.0409,99.28,0.46,0.05,0.01,0.01,0.14,0.01,0.04
SKN,15,1,19.00,11.90,3.80,6.40,0.0330,99.32,0.43,0.07,0.02,0.00,0.14,0.00,0.02
SKN,15,2,19.00,11.90,3.80,6.40,0.0330,99.28,0.45,0.06,0.02,0.00,0.15,-0.01,0.05
SKN,15,3,19.00,11.90,3.80,6.40,0.0330,99.16,0.40,0.18,0.06,0.02,0.17,-0.01,0.02
SKN,16,1,25.00,12.70,3.80,6.90,0.0339,99.27,0.46,0.07,0.02,0.00,0.16,0.00,0.02
SKN,16,2,25.00,12.70,3.80,6.90,0.0339,99.31,0.47,0.02,0.03,0.00,0.15,0.00,0.03
SKN,16,3,25.00,12.70,3.80,6.90,0.0339,99.17,0.45,0.12,0.01,0.01,0.21,0.00,0.03
SKN,17,1,34.80,14.20,4.40,7.70,0.0618,99.21,0.40,0.15,0.02,0.00,0.19,0.01,0.02
SKN,17,2,34.80,14.20,4.40,7.70,0.0618,99.20,0.45,0.12,0.02,0.00,0.19,0.00,0.02
SKN,17,3,34.80,14.20,4.40,7.70,0.0618,99.14,0.42,0.23,0.01,0.01,0.17,0.00,0.03
SKN,18,1,22.70,12.60,3.30,6.40,0.0330,99.32,0.43,0.12,0.02,0.00,0.12,-0.01,0.00
SKN,18,2,22.70,12.60,3.30,6.40,0.0330,99.30,0.44,0.04,0.03,0.00,0.16,0.00,0.03
SKN,18,3,22.70,12.60,3.30,6.40,0.0330,99.16,0.42,0.15,0.03,0.02,0.21,-0.01,0.02
SKN,19,1,24.20,12.50,4.00,6.60,0.0401,99.24,0.44,0.10,0.02,0.00,0.18,0.00,0.02
SKN,19,2,24.20,12.50,4.00,6.60,0.0401,99.16,0.50,0.10,0.02,0.00,0.21,0.00,0.01
SKN,19,3,24.20,12.50,4.00,6.60,0.0401,99.10,0.55,0.07,0.02,0.02,0.19,0.00,0.05
SKN,20,1,27.80,13.10,4.20,7.00,0.0442,99.15,0.46,0.14,0.01,0.00,0.22,0.00,0.02
SKN,20,2,27.80,13.10,4.20,7.00,0.0442,99.24,0.43,0.11,0.01,0.00,0.17,0.00,0.04
SKN,20,3,27.80,13.10,4.20,7.00,0.0442,99.18,0.47,0.07,0.03,0.01,0.18,0.01,0.05
SKN,21,1,22.80,12.40,3.70,6.40,0.0369,99.31,0.41,0.06,0.01,0.00,0.20,0.00,0.01
SKN,21,2,22.80,12.40,3.70,6.40,0.0369,99.31,0.46,0.04,0.01,0.00,0.15,0.00,0.02
SKN,21,3,22.80,12.40,3.70,6.40,0.0369,99.23,0.45,0.05,0.01,0.01,0.21,0.01,0.04
SKN,22,1,21.30,11.80,3.70,6.00,0.0310,99.18,0.44,0.15,0.02,0.01,0.19,0.00,0.02
SKN,22,2,21.30,11.80,3.70,6.00,0.0310,99.32,0.42,0.09,0.01,0.00,0.12,0.01,0.03
SKN,22,3,21.30,11.80,3.70,6.00,0.0310,99.23,0.43,0.11,0.02,0.03,0.17,0.00,0.02
SKN,23,1,22.30,12.50,4.00,6.60,0.0391,99.23,0.47,0.11,0.01,0.00,0.17,0.00,0.01
