Month,Batch,Distance,No,Length,Width
Jan,40,130,3,1.5,0.9
Jan,40,130,4,1,1
Jan,40,130,5,1.1,0.9
Jan,40,130,6,0.9,0.8
Jan,40,130,7,1.3,1.4
Feb,1,70,1,0.5,0.4
Feb,1,70,2,0.4,0.2
Feb,1,100,1,1,1.2
Feb,1,100,2,0.9,0.6
Feb,1,100,3,1,1.8
Feb,1,100,4,1,0.7
Feb,1,100,5,1.9,1.3
Feb,1,100,6,1.2,0.6
Feb,1,100,7,1,1
Feb,1,100,8,1,1.1
Feb,1,100,9,1.9,1
Feb,1,100,10,1,1.1
Feb,1,100,11,1,0.9
Feb,1,100,12,0.6,0.4
Feb,1,100,13,0.5,0.6
Feb,1,100,14,0.5,0.4
Feb,1,100,15,0.9,1
Feb,1,100,16,0.9,0.4
Feb,1,100,17,0.6,0.6
Feb,1,100,18,0.8,0.9
Feb,1,100,19,1.2,1
Feb,1,100,20,1.1,1.4
Feb,1,100,21,1.2,0.9
Feb,1,100,22,1.5,1.1
Feb,1,100,23,1.6,0.8
Feb,1,130,1,0.9,0.6
Feb,1,130,2,1,1
Feb,1,130,3,0.4,0.6
Feb,1,130,4,0.6,0.5
Feb,1,130,5,0.5,0.4
Feb,1,130,6,0.5,0.3
Feb,1,130,7,0.3,0.4
Feb,1,130,8,0.3,0.2
Feb,1,130,9,0.6,0.5
Feb,1,130,10,1.1,1
Feb,1,130,11,1.4,1.3
Feb,1,130,12,0.4,0.3
Feb,1,130,13,0.5,0.4
Feb,1,130,14,0.5,0.4
Feb,1,130,15,1,1.1
Feb,1,130,16,1.5,1.1
Feb,1,130,17,1.1,0.9
Feb,1,130,18,1.6,1.2
Feb,1,130,19,1,0.8
Feb,1,130,20,1.3,0.9
Feb,1,130,21,1.1,0.9
Feb,1,130,22,0.8,0.7
Feb,1,130,23,1,0.9
Feb,1,130,24,1.3,1
Feb,1,130,25,1.1,0.9
Feb,1,130,26,1.3,0.9
Feb,1,130,27,1,0.8
Feb,1,130,28,1,0.7
Feb,1,130,29,0.9,0.8
Feb,1,130,30,1.1,0.9
Feb,1,130,31,1,0.8
Feb,1,130,32,0.6,0.4
Feb,1,130,33,0.9,0.8
Feb,1,130,34,0.5,0.3
Feb,1,130,35,0.4,0.2
Feb,2,40,1,0.6,0.5
Feb,2,70,1,1.6,1.1
Feb,2,70,2,1,1.1
Feb,2,70,3,0.6,0.4
Feb,2,70,4,1.8,1.6
Feb,2,70,5,1.1,0.9
Feb,2,70,6,0.6,0.6
Feb,2,70,7,1,1
Feb,2,70,8,1.5,0.9
Feb,2,100,1,1.1,1.1
Feb,2,100,2,1.1,1
Feb,2,100,3,0.8,1.4
Feb,2,100,4,1.2,0.9
Feb,2,100,5,0.8,1.6
Feb,2,100,6,0.3,0.6
Feb,2,100,7,0.4,0.2
Feb,2,100,8,0.3,0.2
Feb,2,100,9,0.3,0.4
Feb,2,100,10,0.5,0.3
Feb,2,100,11,1,0.8
Feb,2,100,12,0.2,0.4
Feb,2,100,13,0.3,0.5
Feb,2,100,14,0.4,0.3
Feb,2,100,15,0.4,0.3
Feb,2,100,16,1,0.9
Feb,2,100,17,0.4,0.5
Feb,2,100,18,0.5,0.3
Feb,2,100,19,0.7,1
Feb,2,100,20,0.6,0.5
Feb,2,100,21,0.7,0.5
Feb,2,130,1,0.9,0.8
Feb,2,130,2,1,0.8
Feb,2,130,3,1.1,0.9
Feb,2,130,4,1,0.9
Feb,2,130,5,0.6,0.4
Feb,2,130,6,0.6,0.5
Feb,2,130,7,1,0.7
Feb,2,130,8,1.1,0.6
Feb,2,130,9,0.7,0.8
Feb,2,130,10,0.5,0.6
Feb,2,130,11,0.4,0.2
Feb,2,130,12,0.9,0.9
Feb,2,130,13,1.3,1.2
Feb,2,130,14,0.6,0.8
Feb,2,130,15,1.1,0.5
Feb,2,130,16,0.4,0.5
Feb,2,130,17,0.6,0.7
Feb,2,130,18,0.3,0.4
Feb,2,130,19,0.5,0.8
Feb,2,130,20,0.2,0.3
Feb,2,130,21,0.1,0.3
Feb,2,130,22,0.3,0.4
Feb,2,130,23,0.2,0.5
Feb,2,130,24,0.4,0.7
Feb,2,130,25,1.3,1.5
Feb,3,130,1,2.5,2.5
Feb,3,130,1,1,1.3
Feb,3,130,2,1.2,0.5
Feb,3,130,3,1.1,0.5
Feb,3,130,4,0.5,0.7
Feb,3,130,5,1,0.6
Feb,3,130,6,0.8,0.7
Feb,3,130,7,1.1,0.6
Feb,3,130,8,0.6,0.8
Feb,3,130,9,0.9,0.6
Feb,3,130,10,1.1,0.6
Feb,3,130,11,0.8,1.2
Feb,3,130,12,0.6,1.1
Feb,3,130,13,1.4,0.5
Feb,3,130,14,2,1.5
Feb,3,130,1,0.6,0.5
Feb,3,130,2,0.7,0.8
Feb,3,130,3,0.5,0.4
Feb,3,130,4,1,0.5
Feb,3,130,5,0.6,0.8
Feb,3,130,6,0.8,1.2
Feb,3,130,7,1.1,0.9
Feb,3,130,8,0.8,0.8
Feb,3,130,9,0.6,0.5
Feb,3,130,10,0.8,0.6
Feb,3,130,11,0.9,0.6
Feb,3,130,12,0.7,0.8
Feb,3,130,13,0.4,0.6
Feb,3,130,14,0.7,0.5
Feb,3,130,15,0.5,0.7
Feb,3,130,16,0.8,0.5
Feb,3,130,17,1,0.8
Feb,3,130,18,0.6,0.8
Feb,3,130,19,0.9,1.6
Feb,3,130,20,0.9,0.5
Feb,3,130,21,0.7,0.8
Feb,3,130,22,1.2,1
Feb,3,130,23,1,0.6
Feb,3,130,24,0.7,0.6
Feb,3,130,25,1,0.6
Feb,3,130,26,0.7,0.5
Feb,3,130,27,0.7,0.5
Feb,3,130,28,0.7,0.6
Feb,3,130,29,1.3,1
Feb,3,130,30,0.9,0.6
Feb,3,130,31,1.1,0.8
Feb,3,130,32,0.6,0.6
